Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
    68000 |     +0.0% |       0 |       0 |             0 |     49970
    69000 |     +0.0% |       0 |       0 |             0 |     48970
    70000 |     +0.0% |       0 |       0 |             0 |     47970
    71000 |     +0.0% |       0 |       0 |             0 |     46970
    72000 |     +0.0% |       0 |       0 |             0 |     45970
    73000 |     +0.0% |       0 |       0 |             0 |     44970
    74000 |     +0.0% |       0 |       0 |             0 |     43970
    75000 |     +0.0% |       0 |       0 |             0 |     42970
    76000 |     +0.0% |       0 |       0 |             0 |     41970
    77000 |     +0.0% |       0 |       0 |             0 |     40970
    78000 |     +0.0% |       0 |       0 |             0 |     39970
    79000 |     +0.0% |       0 |       0 |             0 |     38970
    80000 |     +0.0% |       0 |       0 |             0 |     37970
    81000 |     +0.0% |       0 |       0 |             0 |     36970
    82000 |     +0.0% |       0 |       0 |             0 |     35970
    83000 |     +0.0% |       0 |       0 |             0 |     34970
    84000 |     +0.0% |       0 |       0 |             0 |     33970
    85000 |     +0.0% |       0 |       0 |             0 |     32970
    86000 |     +0.0% |       0 |       0 |             0 |     31970
    87000 |     +0.0% |       0 |       0 |             0 |     30970
    88000 |     +0.0% |       0 |       0 |             0 |     29970
    89000 |     +0.0% |       0 |       0 |             0 |     28970
    90000 |     +0.0% |       0 |       0 |             0 |     27970
    91000 |     +0.0% |       0 |       0 |             0 |     26970
    92000 |     +0.0% |       0 |       0 |             0 |     25970
    93000 |     +0.0% |       0 |       0 |             0 |     24970
    94000 |     +0.0% |       0 |       0 |             0 |     23970
    95000 |     +0.0% |       0 |       0 |             0 |     22970
    96000 |     +0.0% |       0 |       0 |             0 |     21970
    97000 |     +0.0% |       0 |       0 |             0 |     20970
    98000 |     +0.0% |       0 |       0 |             0 |     19970
    99000 |     +0.0% |       0 |       0 |             0 |     18970
   100000 |     +0.0% |       0 |       0 |             0 |     17970
   101000 |     +0.0% |       0 |       0 |             0 |     16970
   102000 |     +0.0% |       0 |       0 |             0 |     15970
   103000 |     +0.0% |       0 |       0 |             0 |     14970
   104000 |     +0.0% |       0 |       0 |             0 |     13970
   105000 |     +0.0% |       0 |       0 |             0 |     12970
   106000 |     +0.0% |       0 |       0 |             0 |     11970
   107000 |     +0.0% |       0 |       0 |             0 |     10970
   108000 |     +0.0% |       0 |       0 |             0 |      9970
   109000 |     +0.0% |       0 |       0 |             0 |      8970
   110000 |     +0.0% |       0 |       0 |             0 |      7970
   111000 |     +0.0% |       0 |       0 |             0 |      6970
   112000 |     +0.0% |       0 |       0 |             0 |      5970
   113000 |     +0.0% |       0 |       0 |             0 |      4970
   114000 |     +0.0% |       0 |       0 |             0 |      3970
   115000 |     +0.0% |       0 |       0 |             0 |      2970
   116000 |     +0.0% |       0 |       0 |             0 |      1970
   117000 |     +0.0% |       0 |       0 |             0 |       970
    final |     +0.0% |       0 |       0 |             0 |         0
---------------------------------------------------------------------
Took 8 seconds: repair_design -verbose
Floating nets: 
[WARNING RSZ-0095] found 879 floating pins.
Report metrics stage 3, resizer...

==========================================================================
resizer report_design_area
--------------------------------------------------------------------------
Design area 17573 um^2 74% utilization.
Instance count before 116020, after 116020
Pin count before 400681, after 400681
write_db ./results/asap7/cva6/baseline_alpha_16-beta_0.1/3_4_place_resized.odb
Elapsed time: 0:36.34[h:]min:sec. CPU time: user 51.76 sys 24.25 (209%). Peak memory: 1051808KB.
Log                        Elapsed/s Peak Memory/MB  sha1sum .odb [0:20)
3_4_place_resized                 36           1027 593fecb3e196792c9e66
