design,flow,switching_power,switching_power_%,tot_power,tot_power_%,#1-bit FFs,#2-bit FFs,#4-bit FFs,#clk bufs,#clk bufs_%,WNS,WNS_%,TNS,TNS_%,area,area_%,WL,WL_%,#inst,#inst_%
aes,Ours alpha_4-beta_0.1,0.0993553,0.48,0.167045,0.54,214,14,80,26,-43.48,-36.5118,255.91,-1884.14,1728.04,1855.89,0.94,58334,0.84,17025,-0.47
aes,SFTray alpha_8-beta_0.1,0.0991484,0.27,0.166447,0.18,106,12,108,24,-47.83,-33.9754,231.19,-2052,1890.9,1853.06,0.78,58460,1.05,16914,-1.12
aes,Ours alpha_8-beta_0.1,0.0992437,0.37,0.166735,0.36,102,12,109,23,-50.0,-36.2374,253.24,-2017.41,1857.34,1854.81,0.88,58417,0.98,16953,-0.89
aes,SFTray alpha_16-beta_0.1,0.0991418,0.26,0.166106,-0.02,36,5,129,19,-58.7,-35.3196,244.29,-2639.89,2461.28,1850.17,0.63,58557,1.22,16828,-1.63
aes,Ours alpha_16-beta_0.1,0.0994995,0.63,0.167131,0.59,38,10,126,20,-56.52,-32.8871,220.58,-2117.12,1954.08,1862,1.27,58907,1.83,16932,-1.02
aes,SFTray alpha_67-beta_0.1,0.0993722,0.5,0.167002,0.52,10,2,137,27,-41.3,-39.2564,282.66,-2472.98,2299.34,1867.57,1.57,58856,1.74,16926,-1.05
aes,Ours alpha_67-beta_0.1,0.0992604,0.38,0.16657,0.26,30,6,130,20,-56.52,-51.5677,402.67,-2726.21,2545.03,1857.45,1.02,58466,1.06,16892,-1.25
aes,SFTray alpha_130-beta_0.1,0.0993722,0.5,0.167002,0.52,10,2,137,27,-41.3,-39.2564,282.66,-2472.98,2299.34,1867.57,1.57,58856,1.74,16926,-1.05
aes,Ours alpha_130-beta_0.1,0.0992604,0.38,0.16657,0.26,30,6,130,20,-56.52,-51.5677,402.67,-2726.21,2545.03,1857.45,1.02,58466,1.06,16892,-1.25
aes,SFTray alpha_193-beta_0.1,0.0993722,0.5,0.167002,0.52,10,2,137,27,-41.3,-39.2564,282.66,-2472.98,2299.34,1867.57,1.57,58856,1.74,16926,-1.05
aes,Ours alpha_193-beta_0.1,0.0992604,0.38,0.16657,0.26,30,6,130,20,-56.52,-51.5677,402.67,-2726.21,2545.03,1857.45,1.02,58466,1.06,16892,-1.25
