design,NC GP Mean (s),NC GP Std (s),NC GP N,NC GP,NC Total Mean (s),NC Total Std (s),NC Total N,NC Total,SFTray GP Mean (s),SFTray GP Std (s),SFTray GP N,SFTray GP,SFTray Total Mean (s),SFTray Total Std (s),SFTray Total N,SFTray Total,MCF-Crit GP Mean (s),MCF-Crit GP Std (s),MCF-Crit GP N,MCF-Crit GP,MCF-Crit Total Mean (s),MCF-Crit Total Std (s),MCF-Crit Total N,MCF-Crit Total,MCF+LP-Crit GP Mean (s),MCF+LP-Crit GP Std (s),MCF+LP-Crit GP N,MCF+LP-Crit GP,MCF+LP-Crit Total Mean (s),MCF+LP-Crit Total Std (s),MCF+LP-Crit Total N,MCF+LP-Crit Total
aes,10.512,0.46612230154756645,5,0:10.51 ± 0.47s,238.62000000000003,2.8854549034770995,5,3:58.62 ± 2.89s,13.112,0.2195905280288748,5,0:13.11 ± 0.22s,339.01599999999996,1.1231785254357547,5,5:39.02 ± 1.12s,13.494,0.39690049130733046,5,0:13.49 ± 0.40s,309.83399999999995,2.378556284808033,5,5:09.83 ± 2.38s,13.675999999999998,0.4523052066912336,5,0:13.68 ± 0.45s,308.526,3.0298729346294526,5,5:08.53 ± 3.03s
cva6,205.76800000000003,7.464386779903628,5,3:25.77 ± 7.46s,2210.454,225.71336209892408,5,36:50.45 ± 225.71s,206.342,6.826010547896922,5,3:26.34 ± 6.83s,2516.32,680.5494261256856,5,41:56.32 ± 680.55s,204.81,6.766882590972008,5,3:24.81 ± 6.77s,2473.034,12.58486908950583,5,41:13.03 ± 12.58s,205.89000000000001,11.38903639470873,5,3:25.89 ± 11.39s,2489.568,56.160289084013925,5,41:29.57 ± 56.16s
ethmac,53.217999999999996,5.591504269872285,5,0:53.22 ± 5.59s,695.878,47.8400702340622,5,11:35.88 ± 47.84s,82.928,37.6730655774122,5,1:22.93 ± 37.67s,835.836,84.43983171465935,5,13:55.84 ± 84.44s,62.16600000000001,4.426322401271735,5,1:02.17 ± 4.43s,807.4300000000001,4.614125052488316,5,13:27.43 ± 4.61s,64.678,2.7819094162103832,5,1:04.68 ± 2.78s,816.8900000000001,8.465214114244286,5,13:36.89 ± 8.47s
gcd,1.6119999999999997,0.5666745097496446,5,0:01.61 ± 0.57s,36.376,2.004652089515785,5,0:36.38 ± 2.00s,1.658,0.37917014650417824,5,0:01.66 ± 0.38s,45.482,0.4680491427190045,5,0:45.48 ± 0.47s,1.722,0.5521503418454072,5,0:01.72 ± 0.55s,48.07000000000001,0.8979699326814888,5,0:48.07 ± 0.90s,1.778,0.7490460599989831,5,0:01.78 ± 0.75s,48.20200000000001,1.0216750951256477,5,0:48.20 ± 1.02s
ibex,18.808,0.9554684714840144,5,0:18.81 ± 0.96s,561.8860000000001,25.87229657374852,5,9:21.89 ± 25.87s,20.942,0.9915997176280351,5,0:20.94 ± 0.99s,576.918,3.5241126542719594,5,9:36.92 ± 3.52s,21.546,1.3080634541183398,5,0:21.55 ± 1.31s,658.8419999999999,3.417026485118316,5,10:58.84 ± 3.42s,20.786,0.5378475620470917,5,0:20.79 ± 0.54s,658.3419999999999,0.8158247360800005,5,10:58.34 ± 0.82s
jpeg,51.686,2.0212199286569477,5,0:51.69 ± 2.02s,672.5559999999999,59.617696030625034,5,11:12.56 ± 59.62s,54.116,6.142428672764542,5,0:54.12 ± 6.14s,729.3860000000001,9.40099888309744,5,12:09.39 ± 9.40s,54.39,1.3120213412898447,5,0:54.39 ± 1.31s,736.5740000000001,7.041837828294581,5,12:16.57 ± 7.04s,56.996,4.092826651594226,5,0:57.00 ± 4.09s,737.0840000000001,2.759661211090944,5,12:17.08 ± 2.76s
mock-alu,9.303999999999998,0.6252039667180626,5,0:09.30 ± 0.63s,308.13000000000005,98.77550986960281,5,5:08.13 ± 98.78s,13.11,0.12409673645990857,5,0:13.11 ± 0.12s,314.052,22.077203627271288,5,5:14.05 ± 22.08s,13.260000000000002,0.5453439281774394,5,0:13.26 ± 0.55s,290.446,2.8382706002071147,5,4:50.45 ± 2.84s,13.716,0.6876263520255752,5,0:13.72 ± 0.69s,289.374,1.9764437760786642,5,4:49.37 ± 1.98s
riscv32i,24.434,29.293671330169595,5,0:24.43 ± 29.29s,331.92999999999995,107.5628846303408,5,5:31.93 ± 107.56s,15.922,1.5696719402473884,5,0:15.92 ± 1.57s,359.95,69.62317430281387,5,5:59.95 ± 69.62s,13.919999999999998,1.1158404903927797,5,0:13.92 ± 1.12s,324.18800000000005,1.7309881570941095,5,5:24.19 ± 1.73s,15.457999999999998,0.5469186411158431,5,0:15.46 ± 0.55s,327.71999999999997,3.6983442241089888,5,5:27.72 ± 3.70s
uart,1.438,0.2953303235362058,5,0:01.44 ± 0.30s,41.718,2.036251457949144,5,0:41.72 ± 2.04s,2.786,0.7392090367412996,5,0:02.79 ± 0.74s,55.86,1.0946917374311378,5,0:55.86 ± 1.09s,2.4300000000000006,0.4598369276167368,5,0:02.43 ± 0.46s,61.35999999999999,1.0425209830022604,5,1:01.36 ± 1.04s,2.796,0.6091223194071944,5,0:02.80 ± 0.61s,61.284000000000006,1.2180845619249903,5,1:01.28 ± 1.22s
